ingreident_name,:START_ID(Ingredient),portion,value,:END_ID(Recipe),,,,
Ginger,41,1.000,tablespoons,5,,,,
Serrano Chilies,42,1.500,whole,5,,,,
Tomato Paste,43,1.000,tablespoons,5,,,,
Cauliflower,44,0.500,whole,5,,,,
Can Diced Tomatoes,3,1.000,15 oz can,5,,,,
Can Chickpeas,45,1.000,15 oz can,5,,,,
Frozen Peas,46,8.000,oz,5,,,,
Coconut Milk,47,0.250,cups,5,,,,
Baby Spinach,48,5.000,oz,6,,,,
Shallot,31,1.000,whole,6,,,,
Garlic,5,1.000,whole,6,,,,
Fresh Oregano,49,1.000,teaspoons,6,,,,
Sugar,36,0.125,teaspoons,6,,,,
Lemon,19,1.000,tablespoons,6,,,,
Feta,50,2.000,oz,6,,,,
Black Olives,51,2.000,tablespoons,6,,,,
Sweet Potatoes,52,2.000,pounds,7,,,,
Jasmine Rice,53,2.000,cups,7,,,,
Can Pineapple,54,1.000,15 oz can,7,,,,
Red Bell Pepper,55,1.000,whole,7,,,,
Scallions,56,3.000,whole,7,,,,
Almonds,57,0.500,cups,7,,,,
Sweet Onion,58,0.500,whole,8,,,,
Jasmine Rice,53,2.000,cups,8,,,,
Cumin,59,0.500,teaspoons,8,,,,
Garlic,5,4.000,cloves,8,,,,
Vegetable Broth,60,2.500,cups,8,,,,
Can Tomato Sauce,61,1.000,15 oz can,8,,,,
Soyrizo,62,0.500,whole,8,,,,
Avocado,74,1.000,whole,8,,,,
Frozen Corn,75,1.000,cups,8,,,,
Can Black Beans,76,1.000,15 oz can,8,,,,
Mexican Blend Cheese,77,2.000,tablespoons,8,,,,
Sour Cream,21,2.000,tablespoons,8,,,,
Lime,79,1.000,whole,8,,,,
Sourdough,4,2.000,whole,9,,,,
Milk,73,0.750,cups,9,,,,
Celery,14,2.000,whole,9,,,,
Russet Potatoes,78,2.000,whole,9,,,,
Carrot,6,1.000,whole,9,,,,
Yellow Onion,13,1.000,whole,9,,,,
Chives,63,1.000,whole,9,,,,
Cheddar Cheese,64,2.000,oz,9,,,,
Flour,65,2.000,tablespoons,9,,,,
Mustard Powder,66,0.500,teaspoons,9,,,,
Onion Powder,67,0.500,teaspoons,9,,,,
Sweet Paprika,68,0.500,teaspoons,9,,,,
Garlic Powder,69,0.500,teaspoons,9,,,,
Cayenne Pepper,70,0.500,teaspoons,9,,,,
Smoked Paprika,71,0.500,teaspoons,9,,,,
Dried Parsley,72,0.500,teaspoons,9,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
,#N/A,,,,,,,
